[2025-05-08T17:24:57.046+0300][0.001s][info][gc] Using G1
[2025-05-08T17:24:57.046+0300][0.002s][debug][gc] ConcGCThreads: 3 offset 29
[2025-05-08T17:24:57.046+0300][0.002s][debug][gc] ParallelGCThreads: 13
[2025-05-08T17:24:57.046+0300][0.002s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2025-05-08T17:25:05.800+0300][8,755s][info ][gc] GC(58) Pause Young (Normal) (G1 Evacuation Pause) 309M->4M(512M) 1,045ms
[2025-05-08T17:25:05.951+0300][8,906s][info ][gc] GC(59) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,735ms
[2025-05-08T17:25:06.101+0300][9,057s][info ][gc] GC(60) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,614ms
[2025-05-08T17:25:06.253+0300][9,209s][info ][gc] GC(61) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 1,171ms
[2025-05-08T17:25:06.403+0300][9,359s][info ][gc] GC(62) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,862ms
[2025-05-08T17:25:06.554+0300][9,509s][info ][gc] GC(63) Pause Young (Normal) (G1 Evacuation Pause) 309M->4M(512M) 0,819ms
[2025-05-08T17:25:06.704+0300][9,660s][info ][gc] GC(64) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,683ms
[2025-05-08T17:25:06.856+0300][9,811s][info ][gc] GC(65) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,637ms
[2025-05-08T17:25:07.007+0300][9,962s][info ][gc] GC(66) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,968ms
[2025-05-08T17:25:07.157+0300][10,112s][info ][gc] GC(67) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,867ms
[2025-05-08T17:25:07.307+0300][10,263s][info ][gc] GC(68) Pause Young (Normal) (G1 Evacuation Pause) 309M->4M(512M) 0,823ms
[2025-05-08T17:25:07.458+0300][10,413s][info ][gc] GC(69) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,630ms
[2025-05-08T17:25:07.610+0300][10,565s][info ][gc] GC(70) Pause Young (Normal) (G1 Evacuation Pause) 309M->6M(512M) 1,211ms
[2025-05-08T17:25:07.760+0300][10,716s][info ][gc] GC(71) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,857ms
[2025-05-08T17:25:07.911+0300][10,866s][info ][gc] GC(72) Pause Young (Normal) (G1 Evacuation Pause) 309M->4M(512M) 0,875ms
[2025-05-08T17:25:08.061+0300][11,016s][info ][gc] GC(73) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,625ms
[2025-05-08T17:25:08.212+0300][11,167s][info ][gc] GC(74) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,541ms
[2025-05-08T17:25:08.363+0300][11,319s][info ][gc] GC(75) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,935ms
[2025-05-08T17:25:08.513+0300][11,469s][info ][gc] GC(76) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,783ms
[2025-05-08T17:25:08.664+0300][11,619s][info ][gc] GC(77) Pause Young (Normal) (G1 Evacuation Pause) 309M->4M(512M) 0,875ms
[2025-05-08T17:25:08.815+0300][11,770s][info ][gc] GC(78) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,706ms
[2025-05-08T17:25:08.966+0300][11,922s][info ][gc] GC(79) Pause Young (Normal) (G1 Evacuation Pause) 309M->6M(512M) 1,118ms
[2025-05-08T17:25:09.116+0300][12,071s][info ][gc] GC(80) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,954ms
[2025-05-08T17:25:09.267+0300][12,222s][info ][gc] GC(81) Pause Young (Normal) (G1 Evacuation Pause) 309M->4M(512M) 0,852ms
[2025-05-08T17:25:09.417+0300][12,373s][info ][gc] GC(82) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,690ms
[2025-05-08T17:25:09.569+0300][12,524s][info ][gc] GC(83) Pause Young (Normal) (G1 Evacuation Pause) 309M->3M(512M) 0,733ms
[2025-05-08T17:25:09.721+0300][12,676s][info ][gc] GC(84) Pause Young (Normal) (G1 Evacuation Pause) 309M->5M(512M) 0,995ms
